snapshot,event,step,t,phi,basis_index,u_re,u_im,A_re,A_im,B_re,B_im,R_re,R_im,name
0,initial,0,0,0,0,0.70344687548747642,0,0,0,0.57436677743869635,0,0,0,0
0,initial,0,0,0,1,-0.021865314906762544,0,0,0,2.1961082666773684,0,-1.5,0,1
0,initial,0,0,0,2,-0.021865314906762617,0,0,0,2.1961082666773684,0,1.5,0,2
0,initial,0,0,0,3,0.0081589407245577835,0,0,0,1.4359169435967407,0,2.5,0,3
0,initial,0,0,0,4,0.0081589407245577731,0,0,0,1.4359169435967407,0,-2.5,0,4
0,initial,0,0,0,5,0.12589472272129512,0,0,0,2.1961082666773684,0,0,0,5
0,initial,0,0,0,6,0.0018301181688070423,0,0,0,2.1961082666773684,0,-4,0,6
0,initial,0,0,0,7,0.0018301181688070319,0,0,0,2.1961082666773684,0,4,0,7
0,initial,0,0,0,8,0.00099947437428568446,0,0,0,0.57436677743869635,0,-2,0,8
0,initial,0,0,0,9,0.00099947437428568446,0,0,0,2.1961082666773684,0,-2,0,9
0,initial,0,0,0,10,0.00099947437428568446,0,0,0,0.57436677743869635,0,-4,0,10
0,initial,0,0,0,11,0.00099947437428568446,0,0,0,2.1961082666773684,0,-4,0,11
0,initial,0,0,0,12,0.00099947437428568446,0,0,0,0.57436677743869635,0,-6,0,12
0,initial,0,0,0,13,0.00099947437428568446,0,0,0,2.1961082666773684,0,-6,0,13
0,initial,0,0,0,14,0.00099947437428568446,0,0,0,0.57436677743869635,0,-8,0,14
0,initial,0,0,0,15,0.00099947437428568446,0,0,0,2.1961082666773684,0,-8,0,15
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,0,0.70367137442209615,0.00046851116369183267,0,0,0.57606906364331056,0.0060275846883743323,-3.9210032619676815e-05,0.0012681787708072067,0
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,1,-0.024909700488529973,-0.0098061452875793098,0,0,2.1962390111005901,0.00019664598927237586,-1.4993027577167526,0.0014121379653292407,1
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,2,-0.021170156200824172,0.0019478232317571827,0,0,2.1960664912571057,-0.0001489117626484786,1.4995568941283473,-0.0010992693485676129,2
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,3,0.0082621033176665248,0.00032436043440958745,0,0,1.4358805598085793,-0.00010420612485541126,2.5000452075100119,0.00022373169197199816,3
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,4,0.0039910977635512568,-0.01440786842767496,0,0,1.4363754472785168,-0.00080499431282256696,-2.4992711787064525,-0.001271329544479804,4
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,5,0.125087786284893,-0.0026893230670532254,0,0,2.1958471739868206,-0.0010256615298038434,0.0026497946447759362,0.0061953958904519702,5
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,6,0.0016172674033922583,-0.0012266884630639018,0,0,2.1961101360730688,-3.4559592998176624e-05,-4.0000787934335884,0.0014413698627747612,6
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,7,0.0018231241673006945,-3.0816892756711918e-05,0,0,2.1961061462013727,-7.7613599547942451e-06,3.9999774543746653,-7.9838666249715788e-05,7
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,8,0.0058735455417262133,0.016946854565335952,0,0,0.5733290404821304,7.3358401949993022e-05,-2.0006708470870476,4.3788056055828851e-05,8
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,9,0.0015084062820521541,0.0012104982443936698,0,0,2.1961397865482115,2.9789246564249465e-05,-1.9999009276632604,9.976881143826067e-05,9
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,10,0.0012453403415950809,0.00080621545534652892,0,0,0.57439428675633886,3.5908384401345067e-05,-3.9998289790111214,0.00021944538676567948,10
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,11,0.00053997959081100266,-0.0011801074528606419,0,0,2.1961146390963693,-1.8783854381291477e-05,-4.0002683570565294,0.00078170057961555821,11
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,12,0.00099098422648105471,-9.7878070396603518e-05,0,0,0.57437692663591744,4.284221676923572e-05,-6.0000422275753174,-0.00018983168135324493,12
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,13,0.00093116685011440854,-0.00035040618696731776,0,0,2.196106848376139,-1.3824534432946289e-05,-6.0000090273888436,-0.00011230405262356298,13
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,14,0.0010386463964794255,0.00022442792269075984,0,0,0.57437141922876744,1.1166219458923334e-05,-7.9999321097268199,0.0001677284635881319,14
1,tdvp_step,25,0.050000000000000031,0.0024565985800371888,15,0.0009503542310270775,-0.00025707030668390362,0,0,2.1961082772593161,1.2421177994426811e-07,-7.9999742778137364,0.00018577511144810414,15
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,0,0.70422712574054747,0.0012566693165161392,0,0,0.58025200778110497,0.010159218776066625,-0.0002150632788440179,0.0026738990997880884,0
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,1,-0.032769362970201089,-0.016268813563758071,0,0,2.1965760524632527,0.00021851679457108922,-1.4974775803471825,0.0023063273422807362,1
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,2,-0.019467654712218667,0.0030333767317948413,0,0,2.1959785377785233,-0.00023464580184338299,1.4982403800101922,-0.0018334174843387058,2
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,3,0.0085018605493550007,0.0005320574634014696,0,0,1.4357977206899579,-0.00016078304129469012,2.5000610849873386,0.00035560184278280734,3
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,4,-0.0067984876401071242,-0.02440536474628879,0,0,1.4375627909591797,-0.001990875784722815,-2.4973946813341863,-0.0031062913751152351,4
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,5,0.12305576884993812,-0.0043777116837390977,0,0,2.1951573791377439,-0.0017787041455126905,0.0097296515426898121,0.0092862833979547223,5
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,6,0.0010921849520956024,-0.002245110594226548,0,0,2.1961130232917223,-7.3302687671856359e-05,-4.0002056478174461,0.0030527355876693481,6
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,7,0.0018063984580430543,-5.2900131843845166e-05,0,0,2.1961021386609354,-1.2254606425646967e-05,3.999932376661727,-0.00012625942656922654,7
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,8,0.018213511929503427,0.02862910001737571,0,0,0.57067601541289303,0.0011061094885551138,-2.0023944009293952,0.00068306547596989474,8
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,9,0.0029979762526958602,0.0018679034061786057,0,0,2.1962276287671556,3.6036600434681208e-05,-1.9996251941758769,0.0001465069009975039,9
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,10,0.0018986005807170036,0.0013179744781157475,0,0,0.57446613108414479,4.7710044128808188e-05,-3.9993917888033281,0.00027871571555139252,10
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,11,-0.00072770264777211903,-0.001863084653950431,0,0,2.196133497232323,-3.9522807504023208e-05,-4.0010610921980811,0.0016294360019507162,11
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,12,0.00097721714897753978,-0.00014970024279422592,0,0,0.57440354385042969,7.4325754749209532e-05,-6.0001540056910478,-0.00033526345225897818,12
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,13,0.00073252803497908558,-0.00067873398852237869,0,0,2.1961033600534079,-2.6473252048568285e-05,-6.0000299749099799,-0.00021767853219045572,13
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,14,0.0011442149884787502,0.00040179287749829163,0,0,0.57438290979273998,1.7055675678919084e-05,-7.999763292877093,0.00025955227447626591,14
2,tdvp_step,50,0.10000000000000007,0.0049130975933387531,15,0.00081604854635225358,-0.00046034513471887882,0,0,2.1961083006168844,2.5320732884439478e-07,-7.9999077737102189,0.00034522012828568988,15
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,0,0.70486625259512914,0.0025199009451824343,0,0,0.58512058414167911,0.01175192768812771,-0.00029725889422386868,0.0045878170186973658,0
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,1,-0.042405195891889083,-0.017525743337997925,0,0,2.1969650903110054,-4.4574252389897573e-05,-1.4950710718741795,0.0025524886920770765,1
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,2,-0.017585745701505756,0.002899274102460173,0,0,2.1958996476127783,-0.00025613309151232004,1.4964553547884187,-0.0016048200818340815,2
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,3,0.008761093972712148,0.0006071478072611229,0,0,1.43571335161813,-0.00016188867426993872,2.4999608602968517,0.00053991463550768983,3
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,4,-0.02026563811335591,-0.027581308723219469,0,0,1.4390087149767132,-0.0036643841629826288,-2.4951212816118264,-0.0056187947475163959,4
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,5,0.12062387595102,-0.0046884049283014654,0,0,2.1942961960490268,-0.0020685764278399262,0.01839344523775743,0.0067964353633272606,5
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,6,0.00050238365967736137,-0.0029886403519696161,0,0,2.1961099212368094,-0.00011568270024592854,-4.0000976022245167,0.0048125011129814968,6
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,7,0.0017861046486625518,-6.5168078154911128e-05,0,0,2.1960991851658913,-1.4382150042758788e-05,3.999895028734505,-0.00014477050022559487,7
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,8,0.033167571963357914,0.032634350021430981,0,0,0.56749821264590838,0.0034313169827541777,-2.0044991699129704,0.0021087410875691324,8
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,9,0.0050733328786799307,0.0013471028510827498,0,0,2.1963548509381745,7.517123635235359e-06,-1.9992234050937301,0.0001352939623717438,9
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,10,0.0027486635094533525,0.0013592531024424557,0,0,0.57455867918530723,2.6932184677257308e-05,-3.9988497005876358,0.00012603996399758186,10
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,11,-0.0024841681616595683,-0.001661186634645842,0,0,2.1961635749032866,-6.3492377215827199e-05,-4.0023203722227647,0.0025739292812668887,11
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,12,0.00098265304848835309,-0.00014497388520865926,0,0,0.57443754183080931,8.7432100854548182e-05,-6.0003000308327659,-0.00040746947510606515,12
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,13,0.00042551001067678285,-0.00094830740034076229,0,0,2.1960988934769619,-3.7545534338604803e-05,-6.0000536548298964,-0.0003132838098276582,13
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,14,0.0012873805510242356,0.00050669618183891139,0,0,0.57439620764029653,1.5830730125373208e-05,-7.9995659899853244,0.00024846486911929341,14
3,tdvp_step,75,0.15000000000000011,0.0073694963536547206,15,0.00062882674438546231,-0.00057801297190557797,0,0,2.1961083223750077,3.7911050855982748e-07,-7.9998224417782486,0.00046116625939526942,15
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,0,0.70542636340377096,0.0042179466389017468,0,0,0.58925102618348102,0.011209893764338718,0.00053448811281731306,0.0070342515455572548,0
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,1,-0.050507585363400373,-0.013697792625074534,0,0,2.1971948913713875,-0.00058541602088730345,-1.4924482977931461,0.002274965847332576,1
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,2,-0.01635122131985732,0.0017416843160639641,0,0,2.1958526624934449,-0.00024148569975515063,1.4951779616930196,-0.00015034868857177405,2
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,3,0.0089724886592170029,0.00059013001542320234,0,0,1.4356568298915091,-0.00012416608559539635,2.4999065779871574,0.00091461059246500972,3
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,4,-0.032276665674092375,-0.023983672565204433,0,0,1.4402173258698467,-0.0057007360476405309,-2.4931897861975862,-0.0085877755317938578,4
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,5,0.11845068030279336,-0.003832823166425733,0,0,2.1935818730225414,-0.0018847504178291093,0.024007658604707865,-0.0016771739884918159,5
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,6,5.1348883355709039e-05,-0.0035755261671656146,0,0,2.1960935872155725,-0.00015603540716400106,-3.9994536809436347,0.0065032294527854091,6
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,7,0.0017640759384959595,-6.9812956725644131e-05,0,0,2.1960972104993211,-1.6269247036752816e-05,3.9998696463736767,-0.00015460350474276328,7
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,8,0.046306013432254954,0.029468536234049977,0,0,0.5648890503188454,0.0068073498523211007,-2.0063344486809811,0.004173804936081528,8
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,9,0.0067909439617205641,-0.00061674038848018103,0,0,2.1964991793896593,-5.8726373565828275e-05,-1.998747136447711,8.7613076807617412e-05,9
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,10,0.0035429554649688516,0.00090799864264561438,0,0,0.57464969214494044,-2.2711157357390532e-05,-3.9983442818600095,-0.00020810653172008984,10
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,11,-0.0042432777021530451,-0.0003727631697010906,0,0,2.1962023330579905,-9.3539924913825636e-05,-4.0039388085173861,0.0037123557935496462,11
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,12,0.0010281331160129283,-0.00010685509136439453,0,0,0.57446896982094009,8.124755039995664e-05,-6.0004422534669057,-0.00040098758057460662,12
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,13,4.805838245605428e-05,-0.0011192410718281853,0,0,2.1960935897636213,-4.710920561530868e-05,-6.0000780666407794,-0.00039973276153432022,13
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,14,0.0014350310873351938,0.00053834573752564827,0,0,0.57440705709570627,8.6719994616403372e-06,-7.9994014140398662,0.00015092626443449048,14
4,tdvp_step,100,0.20000000000000001,0.0098257898550739055,15,0.00042739295097255517,-0.00060444557853590842,0,0,2.19610833780049,4.9375593937885823e-07,-7.9997370688783631,0.00053064550024492258,15
